,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Distribution Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL WIRE-DOWN SUSTAINED OUTAGE DETAILS (2015-2019),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION CIRCUIT OUTAGES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Including 2.5b ME Days, Transformer-Only, and Secondary & Service Conductor Wire-Down Outages; Excluding Fire Mitigation Outages))",,,,,,,,,,,,,,,,,,,,,,,,,,
Division,District Name,Feeder Name,Feeder #,Device,Oper #,Out Date,FNL,In Date,"In
Time",OIS #,Duration,Outage Level,Basic Cause,Supplemental Cause,CESO,C Min,"Open Point
Latitude","Open Point
Longitude",Fault Location,Weather,Failed Equipment,"Failed Equipment
Condition",Event #,"Const
Type",Sus/Mom,Tier
EAST BAY     ,CENTRAL         ,OAKLAND J-1108              ,012091108,RECLOSER     ,CR276                                             ,20190601,1538,20190602,1531,395285,"1,433",Distribution Circuit      ,3rd Party                   ,Metallic Balloon                     ,"2,972","138,099",37.78519,-122.23690,E 15TH ST AND 24TH AVE                                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0061177,OH,Sus,Non 2/3  
EAST BAY     ,BAY             ,SAN PABLO-1105              ,014371105,FUSE         ,R8890                                             ,20190420,0511,20190421,0503,364145,"1,432",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,177,"128,177",37.97572,-122.31131,"711 ALHAMBRA, 4010 GRANADA RD, 649 SANTA MARIA RD                                                   ",Overcast;32-90 F                                                ,Pole-Wood                   ,"Broken, wire on ground      ",19-0044523,OH,Sus,Non 2/3  
KERN         ,KERN            ,RIO BRAVO-1101              ,252861101,FUSE         ,7568,20190119,1542,20190120,1520,276840,"1,418",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,96,"136,128",35.47807,-119.26098,6P W/OF 7568                                                                                        ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0012155,OH,Sus,Non 2/3  
NORTH BAY    ,SILVERADO       ,MONTICELLO-1101             ,043051101,RECLOSER     ,65454,20180604,1506,20180605,1435,101071,"1,409",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,129,"110,536",38.44889,-122.19545,"DOEDING, DUSTY: 1481 CAPELL VALLEY RD                                                               ",Clear;32-90F                                                    ,Pole-Wood                   ,"Broken, wire on ground      ",18-0047240,OH,Sus,Non 2/3  
SIERRA       ,NEVADA          ,BRUNSWICK-1106              ,152481106,TRANSFORMER  ,222676055331,20190227,1331,20190228,1259,326932,"1,408",Transformer only          ,3rd Party                   ,"Tree - cutting, 3rd party            ",1,"1,408",39.18211,-121.05677,"TASSONE, LOUIS/530-682-6302: 10465 SMITH                                                            ","Overcast,Fog,Drizzle;32-90 F                                    ",Service conductor           ,"Broken, wire on ground      ",19-0029049,OH,Sus,Tier 2   
DIABLO       ,DIABLO          ,BRENTWOOD-2109              ,014592109,OCB          ,2109/2                                            ,20160914,2353,20160915,2310,s1223840,"1,397",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"2,442","157,890",37.91941,-121.67700,2/S/OF 18851                                                                                        ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0064801,OH,Sus,Non 2/3  
DIABLO       ,DIABLO          ,BRENTWOOD-2106              ,014592106,OCB          ,2106/2                                            ,20160914,2353,20160915,2309,1541941,"1,396",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,636","67,528",37.91941,-121.67710,"STEPHENS,KEVIN: brentwood blvd w/o sellers ave                                                      ",Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0064801,OH,Sus,Non 2/3  
CENTRAL COAST,SALINAS         ,PRUNEDALE-1110              ,182961110,RECLOSER     ,22160,20180722,0131,20180723,0043,137438,"1,392",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,545","615,002",36.82452,-121.67532,"ANDERSON, JARED / 831-682-1761: 1713 SAN MIGUEL CYN                                                 ",Clear;32-90F                                                    ,Pole-Wood                   ,"Broken, wire on ground      ",18-0062465,OH,Sus,Non 2/3  
EAST BAY     ,BAY             ,RUSSELL-0402                ,013310402,OCB          ,OCB                                               ,20151203,2040,20151204,1946,1353497,"1,386",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,254","308,954",37.85452,-122.27974,1)CARPOLE & WIRE DOWN ON WARD BET WALLACE & SAN PABLO; 2) WIRE DOWN AT MATHEWS & OREGON; 3) WRAPPED ,Overcast;32-90 F                                                ,Pole-Wood                   ,"Broken, wire on ground      ",15-0082657,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,FIGARDEN-2112               ,254552112,OCB          ,2112/2                                            ,20160711,1654,20160712,1559,1508362,"1,385",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"2,830","240,496",36.82136,-119.85896,D8517 W/POLE                                                                                        ,Clear;Above 90                                                  ,Pole-Wood                   ,"Broken, wire on ground      ",16-0049136,OH,Sus,Non 2/3  
NORTH VALLEY ,GLENN           ,JACINTO-1102                ,102851102,OTHER        ,WIRE DOWN AT R 239                                ,20180218,0231,20180219,0324,26535,"1,385",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,139,"21,222",39.62338,-122.10387,REGS 239 - CORNER OF COUNTY RD 33 AND COUNTY RD S                                                   ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",18-0015177,OH,Sus,Non 2/3  
CENTRAL COAST,COAST           ,WATSONVILLE-2101            ,083332101,RECLOSER     ,42086,20190423,0922,20190424,0826,366183,"1,384",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,177,"72,576",36.90362,-121.73609,Railroad Ave. 2 Spans W/O Cutouts 3401                                                              ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",19-0045144,OH,Sus,Non 2/3  
DIABLO       ,DIABLO          ,ALHAMBRA-1105               ,014101105,RECLOSER     ,95016,20160806,1953,20160807,1856,1522617,"1,383",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"1,001","144,672",37.96698,-122.12487,13300,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",16-0055535,OH,Sus,Tier 2   
PENINSULA    ,PENINSULA       ,SAN CARLOS-1104             ,024181104,FUSE         ,1995,20150811,1959,20150812,1855,1286899,"1,376",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,196,"75,296",37.49296,-122.26652,11 MADERA AVE SAN CARLOS                                                                            ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",15-0054417,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND C-1120              ,012011120,OCB          ,1120/22                                           ,20170327,0821,20170328,0710,1736288,"1,369",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,203,"16,267",37.79695,-122.28307,Maritime and 7th                                                                                    ,"Partly Cloudy,Fog;32-90 F                                       ",Pole-Wood                   ,"Broken, wire on ground      ",17-0033977,OH,Sus,Non 2/3  
KERN         ,KERN            ,SMYRNA-1103                 ,253551103,RECLOSER     ,1200,20180114,0633,20180115,0520,7992,"1,367",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,179,"25,925",35.71758,-119.42041,1435,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",18-0006031,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,GLENWOOD SUB                ,000002409,OCB          ,404/2                                             ,20170819,0540,20170820,0409,1855135,"1,349",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,832,"404,642",37.45728,-122.18732,ashfield & el camino                                                                                ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",17-0071444,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND X-1112              ,012541112,OCB          ,1112/12                                           ,20191215,2145,20191216,2011,740430,"1,346",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,"3,513","810,546",37.80543,-122.23227,MACARTHUR & VAN BUREN AVE                                                                           ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0136683,OH,Sus,Non 2/3  
SAN JOSE     ,SAN JOSE        ,STONE-1104                  ,083701104,OTHER        ,WIRE DOWN  @ 26571                                ,20191018,0057,20191018,2319,667325,"1,342",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,62,"73,634",37.31754,-121.87176,ALMA AVE. EAST OF MONTEREY RD.                                                                      ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0113201,OH,Sus,Non 2/3  
LOS PADRES   ,SANTA MARIA     ,PALMER-1101                 ,183031101,RECLOSER     ,M84                                               ,20160507,0140,20160508,0001,1466258,"1,341",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,842,"81,236",34.82062,-120.28917,"LANDEROS,MARIO / 805-680-5498: 100025 alisos canyon rd, los alamos                                  ","Partly Cloudy,Fog;32-90 F                                       ",Pole-Wood                   ,"Broken, wire on ground      ",16-0034612,OH,Sus,Non 2/3  
STOCKTON     ,MOTHER LODE     ,CORRAL-1102                 ,162991102,RECLOSER     ,13498,20160918,1629,20160920,0315,1543604,"1,338",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,671,"287,991",38.17198,-120.83655,L6831(CARPOLE) AND MANY OTHERS (UG TROUBLE)                                                         ,Clear;Above 90                                                  ,Pole-Wood                   ,"Broken, wire on ground      ",16-0065440,OH,Sus,Non 2/3  
SAN JOSE     ,SAN JOSE        ,MORGAN HILL-2111            ,083242111,OCB          ,2111/2                                            ,20180718,0346,20180719,0159,134382,"1,333",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,293,"117,738",37.12669,-121.65967,"1)CORNER OF HALE & KALANA,2)N/O OH SW 3711                                                          ",Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0060884,OH,Sus,Non 2/3  
CENTRAL COAST,MONTEREY        ,LAURELES-1111               ,182371111,RECLOSER     ,2020,20190504,1552,20190505,1405,373766,"1,333",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,848,"117,011",36.46331,-121.71203,CGC # 412162940222                                                                                  ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0048900,OH,Sus,Tier 2   
CENTRAL COAST,COAST           ,WATSONVILLE-2101            ,083332101,FUSE         ,11787,20150817,0630,20150818,0442,1289971,"1,332",Distribution Circuit      ,3rd Party                   ,Vehicle                              ,7,"9,324",36.90416,-121.70297,MTR 5000032772                                                                                      ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",15-0055477,OH,Sus,Non 2/3  
